Year  Mon  Ver  TotalArc  Okhotsk   Bering   Hudson   Baffin  Grnland  BarKara  ArctOcn  CanArch   StLawr
1978   11  v01  12057952    50334    55046  1117017   792303   669170  1506325  7091630   750859    19385
1978   12  v01  14166548   768128   302831  1233463   952209   954102  1895710  7158209   750859    39504
1979    1  v01  15580361  1412760   350852  1233463  1114737  1084505  2056824  7158209   750859   164679
1979    2  v01  16348087  1502094   572440  1233463  1219210  1130897  2171230  7158209   750859   266102
1979    3  v01  16492179  1596137   696228  1233463  1312683  1079564  2159697  7158209   750859   230914
1979    4  v01  15528329  1391146   465047  1233463  1135469   961234  2177844  7158209   750859    65096
1979    5  v01  14105063   607112   245247  1233463   983226   832668  2149576  7158209   750859    48350
1979    6  v01  12658686    84704    28739  1190839   820315   748614  1939050  7084556   750859    11006
1979    7  v01  10523684        0     3008   437598   545049   551913  1327623  6919147   739343        0
1979    8  v01   8183628        0        0   141300   135600   336994   516062  6374454   679214        0
1979    9  v01   7229036        0        0    36408    70372   291250   182664  6004351   643989        0
1979   10  v01   9414238    28765     9052   151218   257125   402196   992625  6822394   750859        0
1979   11  v01  11198676   102463    87726   538397   671187   525165  1379387  7116872   750859    18891
1979   12  v01  13590375   561428   454231  1233463   969995   650133  1697658  7158209   750859    42092
1980    1  v01  15026240  1077493   687786  1233463  1135336   821539  1905774  7158209   750859   103388
1980    2  v01  16038285  1433712   837943  1233463  1225782   968614  1959193  7158209   750859   218796
1980    3  v01  16183189  1459242   861312  1233463  1306363   981071  1935025  7158209   750859   249258
1980    4  v01  15525442  1307021   762511  1233463  1228928   901092  1918804  7158209   750859    76021
1980    5  v01  14093886   747452   492053  1233463  1039805   752158  1803853  7158209   750859    40196
1980    6  v01  12375560   141117    58431  1171906   818359   677380  1618216  7135093   750859     4196
1980    7  v01  10434531        0     3008   445119   554669   528148  1316785  6851289   735509        0
1980    8  v01   8078713        0        0   112692   107843   402714   729576  6116431   609455        0
1980    9  v01   7868414        0        0    15311    57334   418076   585314  6178833   613543        0
1980   10  v01   9482141    22530     8441    67073   280998   527889   986175  6913292   675740        0
1980   11  v01  11735579    52067   107890   688902   618994   749785  1574121  7153308   750859    20472
1980   12  v01  13770020   270850   506818  1233463   901954   934051  1873305  7158209   750859    53207
1981    1  v01  15071051   853859   695160  1233463  1166263  1042539  1890043  7158209   750859   158670
1981    2  v01  15705357  1239709   783407  1233463  1291604   950197  1863780  7158209   750859   224598
1981    3  v01  15668344  1332015   793005  1233463  1118365   946687  2062491  7158209   750859    58250
1981    4  v01  15181103  1069414   561577  1233463  1170623   907544  2116366  7158209   750859    43203
1981    5  v01  13938255   269959   291688  1233463  1058068   927979  2127566  7158209   750859    43694
1981    6  v01  12625007    62803    33571  1186256   805656   866732  1861621  7075826   728340     4199
1981    7  v01  10670579        0     3008   650408   435861   735013  1339794  6839976   666515        0
1981    8  v01   7885443        0        0    39252    70502   520928   722299  6008318   524142        0
1981    9  v01   7265192        0        0    11005    63327   405876   557780  5808472   418730        0
1981   10  v01   9209535    27680     5449    33001   140318   587511   848179  6875428   691965        0
1981   11  v01  11218693    54358   181296   396992   678519   721811  1240631  7158209   750859    27087
1981   12  v01  13794048   384366   431572  1232923   909181   992825  1804320  7158209   750859    31901
1982    1  v01  15315689   978566   561044  1233463  1108568  1123277  2052300  7158209   750859    80174
1982    2  v01  16098921  1226534   622733  1233463  1440932  1107296  2087344  7158209   750859   222677
1982    3  v01  16208177  1328387   651534  1233463  1503784  1072573  2052794  7158209   750859   265129
1982    4  v01  15610477  1121346   640794  1233463  1369514  1059355  2047060  7158209   750859    81332
1982    5  v01  14199005   513695   453890  1233463  1228136   856000  1880903  7158209   750859    52212
1982    6  v01  12751227    74070    52358  1232358  1004014   767940  1762573  7102561   749579     5768
1982    7  v01  10807251        0     3008   707876   577600   685846  1365561  6736980   730377        0
1982    8  v01   8297619        0        0   101414   138380   418368   699384  6338478   601594        0
1982    9  v01   7468606        0        0    16573   103568   450623   520583  5771438   605819        0
